名称,PLC地址,数剧类型,功能
WCS看门狗心跳,DB1001.DBW0,WORD ,高电平1秒持续，低电平1秒持续，一直循环
WCS-全线启动（系统在线）,DB1001.DBW2,WORD ,收到数值1，PLC完成动作自动清零
WCS-全线停止,DB1001.DBW4,WORD ,收到数值1，PLC完成动作自动清零
WCS-允许进料,DB1001.DBW6,WORD,接收到MES发过来的订单信息，允许上货，收到数值01，PLC完成动作自动清零，当收到02，为批次上货错误。PLCJ将货物退出处理，人工复位。
WCS-故障复位,DB1001.DBW8,WORD,收到数值1，PLC完成动作自动清零
WCS上货位写虚拟ID,DB1001.DBW10,INT,电机01002位置请求读码后。WCS调取MES信息对比后写入虚拟ID
WCS上货位写目的地,DB1001.DBW12,INT,电机01006位置请求读码后。WCS调取MES信息对比后写入目的地
WCS执行出货预热房编号,DB1001.DBW14,WORD ,起始：预热柜编码：3201-3215  
WCS执行进货灭菌柜编号,DB1001.DBW16,WORD,目的地：灭菌柜编码：3201-3215
WCS执行预热房出货命令,DB1001.DBW18,WORD,"BIT 0：  3201预热进货
BIT 1：  3202预热进货
BIT 2：  3203预热进货
BIT 3：  3204预热进货
BIT 4：  3205预热进货
BIT 5：  3206预热进货
BIT 6：  3207预热进货
BIT 7：  3208预热进货
BIT 8：  3209预热进货
BIR 9：  3210预热进货
BIT 10：  3211预热进货
BIT 11：  3212预热进货
BIT 12：  3213预热进货
BIT 13：  3214预热进货
BIT 14：  3215预热进货   
        
     "
WCS执行进货灭菌柜出货命令,DB1001.DBW20,WORD,"BIT 0：  3201灭菌进货
BIT 1：  3202灭菌进货
BIT 2：  3203灭菌进货
BIT 3：  3204灭菌进货
BIT 4：  3205灭菌进货
BIT 5：  3206灭菌进货
BIT 6：  3207灭菌进货
BIT 7：  3208灭菌进货
BIT 8：  3209灭菌进货
BIR 9：  3210灭菌进货
BIT 10：  3211灭菌进货
BIT 11：  3212灭菌进货
BIT 12：  3213灭菌进货
BIT 13：  3214灭菌进货
BIT 14：  3215灭菌进货
BIT 15:   备用  
     "
WCS执行小车移栽命令,DB1001.DBW22,WORD,"当数字为1时，PLC根据DBW1001.DBW18和20的数据进行移栽，当为0时PLC完成小车上的货物后自动恢复原位.(也就是说移栽货物没有了清零，小车回原位）
         
        
     "
WCS修改电机编号,DB1001.DBW24,INT,"值为：01001-09039
           
     "
WCS修改目的地,DB1001.DBW26,INT,"值为：3201-3215值为
           
     "
WCS下修改模拟ID,DB1001.DBW28,INT,"值为:10001-50000
          
           "
WCS下发修改命令,"DB1001.DBW30
",INT,"值为（发送2秒）：01修改，PLC修改完清零
          
           "
系统无码模式切换,"DB1001.DBW32
",INT,01：有码模式02：无码模式
手自动动切换,"DB1001.DBW34
",INT,PDA1当前选定电机编号:，写02：手动模式（一直写）
选定电机编号1,"DB1001.DBW36
",INT,PDA1
选定电机编号2,"DB1001.DBW38
",INT,PDA1
选定电机编号3,"DB1001.DBW40
",INT,PDA1
选定电机编号4,"DB1001.DBW42
",INT,PDA1
电机前进,"DB1001.DBW44
",INT,PDA1按钮按下写1前进，松开按钮赋值为0
电机后退,"DB1001.DBW46
",INT,PDA1按钮按下写1前进，松开按钮赋值为0
顶升上升,"DB1001.DBW48
",INT,PDA1按钮按下写1前进，松开按钮赋值为0
顶升下降,"DB1001.DBW50
",INT,PDA1按钮按下写1前进，松开按钮赋值为0
小车左移,"DB1001.DBW52
",INT,PDA1按钮按下写1前进，松开按钮赋值为0
小车右移,"DB1001.DBW54
",INT,PDA1按钮按下写1前进，松开按钮赋值为0
WCS修改目标数量,DB1001.DBW56,INT,"值为：0-100（配合DB1001.DBW30完成对电机上的缓存数量修改）
           
     "
双线单线缓存模式,DB1001.DBW58,INT,"值为：0-2（0为左侧单线备货模式，1、为右侧单线备货，2为双线交叉模式,  3：WMS信息错反向清线（人工设定）"
出灭菌柜线链条电机货物目的地,DB1001.DBW60-118,INT,"1：去连廊方向缓存  2：去临时口方向缓存
3：去连廊方向出货  4：去临时口方向出货（收到DB1000.DBW1670-1672信号写目的地两秒,PLC收到目的地取消信号）                                                                                                                                                                                  DBW60: 02026电机（出口链条机）                                                                                                                                                                DBW62: 02029电机（出口链条机）                                                                                                                                                               
DBW64: 02033电机（出口链条机）                                                                                                                                                               
DBW66: 02036电机（出口链条机）                                                                                                                                                               
DBW68: 03026电机（出口链条机）                                                                                                                                                               
DBW70: 03029电机（出口链条机）                                                                                                                                                               
DBW72: 03033电机（出口链条机）                                                                                                                                                               
DBW74: 03036电机（出口链条机）                                                                                                                                                               
DBW76: 04026电机（出口链条机）                                                                                                                                                               
DBW78: 04029电机（出口链条机）                                                                                                                                                               
DBW80: 04033电机（出口链条机）                                                                                                                                                               
DBW82: 04036电机（出口链条机）                                                                                                                                                               
DBW84: 05026电机（出口链条机）                                                                                                                                                               
DBW86: 05029电机（出口链条机）                                                                                                                                                               
DBW88: 05033电机（出口链条机）                                                                                                                                                               
DBW90: 05036电机（出口链条机）                                                                                                                                                               
DBW92: 06026电机（出口链条机）                                                                                                                                                               
DBW94: 06029电机（出口链条机）                                                                                                                                                               
DBW96: 06033电机（出口链条机）                                                                                                                                                               
DBW98：06036电机（出口链条机）                                                                                                                                                               
DBW100：07026电机（出口链条机）                                                                                                                                                               
DBW102: 07029电机（出口链条机）                                                                                                                                                               
DBW104：07033电机（出口链条机）                                                                                                                                                               
DBW106: 07036电机（出口链条机）                                                                                                                                                               
DBW108: 08026电机（出口链条机）                                                                                                                                                               
DBW110: 08029电机（出口链条机）                                                                                                                                                               
DBW112: 08033电机（出口链条机）                                                                                                                                                               
DBW114: 08036电机（出口链条机）                                                                                                                                                               
DBW116: 09015电机（出口链条机）                                                                                                                                                                                                                                                                                                                            
DBW118: 09018电机（出口链条机）                                                                                                                                                               "
出灭菌线占位虚拟ID码,DB1000.DBW120-178,INT,"DBW120: 02026电机（出口链条机）                                                                                                                                                                DBW122: 02029电机（出口链条机）                                                                                                                                                               
DBW124: 02033电机（出口链条机）                                                                                                                                                               
DBW126: 02036电机（出口链条机）                                                                                                                                                               
DBW128: 03026电机（出口链条机）                                                                                                                                                               
DBW130: 03029电机（出口链条机）                                                                                                                                                               
DBW132: 03033电机（出口链条机）                                                                                                                                                               
DBW134: 03036电机（出口链条机）                                                                                                                                                               
DBW136: 04026电机（出口链条机）                                                                                                                                                               
DBW138: 04029电机（出口链条机）                                                                                                                                                               
DBW140: 04033电机（出口链条机）                                                                                                                                                               
DBW142: 04036电机（出口链条机）                                                                                                                                                               
DBW144: 05026电机（出口链条机）                                                                                                                                                               
DBW146: 05029电机（出口链条机）                                                                                                                                                               
DBW148: 05033电机（出口链条机）                                                                                                                                                               
DBW150: 05036电机（出口链条机）                                                                                                                                                               
DBW152: 06026电机（出口链条机）                                                                                                                                                               
DBW154: 06029电机（出口链条机）                                                                                                                                                               
DBW156: 06033电机（出口链条机）                                                                                                                                                               
DBW158：06036电机（出口链条机）                                                                                                                                                               
DBW160：07026电机（出口链条机）                                                                                                                                                               
DBW162: 07029电机（出口链条机）                                                                                                                                                               
DBW164：07033电机（出口链条机）                                                                                                                                                               
DBW166: 07036电机（出口链条机）                                                                                                                                                               
DBW168: 08026电机（出口链条机）                                                                                                                                                               
DBW170: 08029电机（出口链条机）                                                                                                                                                               
DBW172: 08033电机（出口链条机）                                                                                                                                                               
DBW174: 08036电机（出口链条机）                                                                                                                                                               
DBW176: 09015电机（出口链条机）                                                                                                                                                                                                                                                                                                                            
DBW178: 09018电机（出口链条机）                                                                                                                                                               "
进货错误停止信号,DB1000.DBW180,INT,判断预热房前面进货输送有托盘号且电机在运行。提示报警，1为报警，0为报警取消
选定电机编号5,"DB1001.DBW182
",INT,PDA2
选定电机编号6,"DB1001.DBW184
",INT,PDA2
选定电机编号7,"DB1001.DBW186
",INT,PDA2
选定电机编号8,"DB1001.DBW188
",INT,PDA2
电机前进,"DB1001.DBW44
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
电机后退,"DB1001.DBW46
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
顶升上升,"DB1001.DBW48
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
顶升下降,"DB1001.DBW50
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
小车左移,"DB1001.DBW52
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
小车右移,"DB1001.DBW54
",INT,PDA2按钮按下写1前进，松开按钮赋值为0
手自动动切换,"DB1001.DBW34
",INT,PDA2当前选定电机编号:，写02：手动模式（一直写）
